
Discussion :

{Enter your intriguing discussion (explaining observations/results) here}



----------Evaluation START----------

### Evaluating AM model: 1000 ### 


BLEU scores with N-gram (n) = 1: 	0.1176	0.2222	0.1538	0.1429	0.2308	0.2000	0.1538	0.2500	0.2500	0.1989	0.1538	0.1538	0.3636	0.1111	0.1319	0.3067	0.2000	0.1579	0.1429	0.1810	0.2500	0.2727	0.1429	0.2105	0.2500
BLEU scores with N-gram (n) = 2: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000


### Evaluating AM model: 10000 ### 


BLEU scores with N-gram (n) = 1: 	0.1176	0.2222	0.1538	0.1429	0.1538	0.2000	0.1538	0.3750	0.3750	0.2983	0.1538	0.1538	0.2727	0.1111	0.1319	0.1533	0.2000	0.1053	0.2143	0.1810	0.2500	0.4545	0.1429	0.1053	0.2500
BLEU scores with N-gram (n) = 2: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000


### Evaluating AM model: 15000 ### 


BLEU scores with N-gram (n) = 1: 	0.1176	0.2222	0.1538	0.1429	0.1538	0.2000	0.2308	0.2500	0.2500	0.2983	0.1538	0.1538	0.2727	0.1111	0.1319	0.1533	0.2000	0.1053	0.2143	0.1810	0.2500	0.3636	0.1429	0.1053	0.2500
BLEU scores with N-gram (n) = 2: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000


### Evaluating AM model: 30000 ### 


BLEU scores with N-gram (n) = 1: 	0.1176	0.2222	0.1538	0.1429	0.1538	0.2000	0.1538	0.2500	0.2500	0.2983	0.1538	0.1538	0.3636	0.1111	0.1319	0.1533	0.2000	0.1053	0.2143	0.1810	0.5000	0.3636	0.1429	0.1053	0.2500
BLEU scores with N-gram (n) = 2: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000



----------Evaluation END----------
